contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL210618C00205000,2019-04-05 3:14PM EDT,205,25.85,24.05,26.7,0.42,1.65%,203,930,25.80%,6/18/2021
AAPL210618C00210000,2019-04-05 2:35PM EDT,210,24,22.05,24.7,0.88,3.81%,24,619,25.68%,6/18/2021
AAPL210618C00215000,2019-04-02 11:08AM EDT,215,19.85,20.15,23.15,0,-,30,310,25.85%,6/18/2021
AAPL210618C00220000,2019-04-05 2:29PM EDT,220,20.42,18.85,21,1.42,7.47%,1,784,25.40%,6/18/2021
AAPL210618C00225000,2019-04-05 11:57AM EDT,225,18.2,17.25,19.15,0.4,2.25%,2,280,25.12%,6/18/2021
AAPL210618C00230000,2019-04-05 2:17PM EDT,230,17.45,16.5,18,2.08,13.53%,368,411,25.35%,6/18/2021
AAPL210618C00235000,2019-04-05 1:36PM EDT,235,15.65,14.3,17.9,0.15,0.97%,27,823,26.44%,6/18/2021
AAPL210618C00240000,2019-04-05 3:16PM EDT,240,13.5,13.2,14.85,0.41,3.13%,6,293,24.82%,6/18/2021
AAPL210618C00245000,2019-04-05 3:17PM EDT,245,12.8,11.65,13.55,0.49,3.98%,8,126,24.67%,6/18/2021
AAPL210618C00250000,2019-04-05 3:17PM EDT,250,11.35,11,12,1.04,10.09%,6,656,24.19%,6/18/2021
AAPL210618C00260000,2019-04-05 3:56PM EDT,260,9.75,8.05,9.8,0.26,2.74%,2,143,23.82%,6/18/2021
AAPL210618C00270000,2019-04-05 3:58PM EDT,270,7.71,6.3,8.2,-0.09,-1.15%,2,62,23.77%,6/18/2021
AAPL210618C00280000,2019-04-05 3:48PM EDT,280,6.4,5.85,6.6,0.45,7.56%,8,216,23.42%,6/18/2021
AAPL210618C00290000,2019-04-05 2:08PM EDT,290,5.3,4.05,5.8,0.3,6.00%,1,276,23.80%,6/18/2021
AAPL210618C00300000,2019-04-05 2:09PM EDT,300,4.8,3.8,5,0.43,9.84%,12,"1,211",23.99%,6/18/2021
